title,authors,year,citations,scholar_id
"Open database for the paper"" Participation in global value chains and varieties of development patterns""","BC Smichowski , C Durand , S Knauss - 2019 - hal.science",2019,0,"1f0foOFZKR4J"
"An introduction to the critical theories of capitalist globalization","C DURAND - durandcedric.wordpress.com",,0,"KXU6ugWiEPAJ"
"L'inflation comme phénomène réel et monétaire","C Durand - Regards croisés sur l'économie, 2023 - shs.cairn.info",2023,0,"Zo1aysnSGlQJ"
"Balance Sheets after the EMU: Tricky but Manageable","C Durand , S Villemot - 2016 - pinguet.free.fr",2016,0,"QDTXb4d3UDAJ"
"Tecnofeudalismo: la lógica de la regresión en la era digital","C Durand - Rencontres Cairn - shs.cairn.info",,0,"tPULjPi5NvQJ"
"En teori om revolusjoner: En samtale med Thomas Piketty","C Durand , L Fontaine, U Lojkine - Agora, 2021 - scup.com",2021,0,"vpGhkSW5990J"
"Résurgence: Retour de la planification économique","C Durand , R Keucheyan - 2019 - ideas.repec.org",2019,0,"4cPRtsBppNQJ"
"Financial accumulation in the rich countries since 1970","C Durand - CEPN Policy Brief, 2015 - ideas.repec.org",2015,0,"IEC1OWWcG-MJ"
"La revanche de la coordination","C Durand - SH/Économie politique, 2025 - shs.cairn.info",2025,0,"zAH4aGzAIrcJ"
"Growth models and working class restructuring before the crisis","E Stockhammer , C Durand , L List - 2015 - kclpure.kcl.ac.uk",2015,0,"IE6cctRkCr4J"
"Le problème de la connaissance dans les Anthropocène. L'illusion environnementale hayekienne et la condition d'une planification l'écologique","C Durand - gillesenvrac.ca",,0,"X5Q2AoBiligJ"
"The transformation of the Social Relation to Energy from the Fordism to Neoliberal Capitalism [La transformación de la relación social a la energía del fordismo al …","L Cahen-Fourot, C Durand - 2016 - ideas.repec.org",2016,0,"X0xzTBY7vE0J"
"Inflation as a real and monetary phenomenon","C Durand - Regards croisés sur l'économie, 2023 - shs.cairn.info",2023,0,"yhPMQ021SUcJ"
"The transformation of the Social Relation to Energy from the Fordism to Neoliberal Capitalism","L Cahen-Fourot, C Durand - 2016 - econpapers.repec.org",2016,0,"PljGRJXoqdgJ"
"Robotización y digitalización de la economía Tecnofeudalismo: la nueva gleba digital","C Durand - vientosur.info",,0,"rpNkimtMiEwJ"
"16. L'inflation comme phénomène réel et monétaire","C Durand - Regards croisés sur l'économie, 2023 - cairn.info",2023,0,"W1qUHPV3v6YJ"
"Introduction [a Penser la monnaie et la finance avec Marx. Contributions en l'honneur de Suzanne de Brunhoff]","R Bellofiore, D Cohen, C Durand , A Orléan - ECONOMIE & …, 2018 - aisberg.unibg.it",2018,0,"wv7cUTOmnhYJ"
"Remedios tóxicos para una crisis financiera: ahogar el motor al apagar el incendio","C Durand - Le Monde diplomatique en español, 2017 - dialnet.unirioja.es",2017,0,"9tIabx-WZfwJ"
"The Anti-Globalist Movement: New Organizational Practices for Emancipation","C Durand - Mouvements, 2005 - shs.cairn.info",2005,0,"9nS0L_j0arYJ"
"En finir avec l'Europe","D Dalakoglou , C Durand , C Lapavitsas , R Keucheyan… - 2013 - research.vu.nl",2013,0,"o5D7TF82uMsJ"
"«diviser pour mieux régner»: une interprétation microéconomique du recul du travail face à l'offensive néolibérale","C Durand",,0,"v_2mOd9kkaUJ"
"Une analyse institutionnelle et systémique de l'internationalisation des firmes de la métallurgie russe","C Durand - 2005",2005,0,"qNOHPJ0Lo94J"
"Capitalisme, crises et développement","C Durand , V Gay - 2008 - Textuel",2008,0,"GlUNuqcATOIJ"
"Capitalisme","C Durand - Histoire globale des socialismes, XIXe-XXIe siècle, 2021 - shs.cairn.info",2021,0,"cdaXDyWcHosJ"
"Quand la théorie de la croissance de Philippe Aghion se heurte à la réalité","C Durand - Alternatives Économiques, 2025 - shs.cairn.info",2025,0,"0vFMg9txBz0J"
"The problem of knowledge in the Anthropocene","C Durand - 2025 - access.archive-ouverte.unige.ch",2025,0,"3Q5NcB7FdukJ"
"De quelles manières les sanctions de 2014 visant le secteur pétrolier russe ont-elles affecté la Russie? Étude «conditionnaliste» de l'efficacité des sanctions …","A Turrettini, C Durand - access.archive-ouverte.unige.ch",,0,"WStuPalefcYJ"
"J'ai aussi énormément profité des discussions que nous avons eues avec le collectif informel constitué autour d'Adam Tooze, principalement avec Mona Ali, Kate …","E Batmanghelidj, R Keucheyan, C Durand , M Amato - shs.cairn.info",,0,"lAJYZAMiDCUJ"
"Effet de bilan d'un éclatement de l'Euro","C Durand , S Villemot - 2017 - sciencespo.hal.science",2017,0,"unp79y65cTAJ"
"8. Critical theories of capitalist globalization: An introduction","C Durand - Regards croisés sur l'économie, 2017 - shs.cairn.info",2017,0,"yNpZbU_VYGYJ"
"Régulationdebrancheetinterdépendancedesniveau xde cohérence","C Durand - theorie-regulation.org",,0,"6956v8fW5_4J"
"En finir avec l'Europe","C Lapavitsas , S Kouvelakis, W Streeck, C Durand … - 2013 - La fabrique éditions",2013,0,"QEm7HXKG2EoJ"
"Les crises de la grande distribution","B Marlène , C Durand , M Hocquelet … - Lectures, Publications … - journals.openedition.org",,0,"IScjGEdHV8IJ"
"8. Una introducción a las teorías críticas de la globalización capitalista","C Durand - Regards croisés sur l'économie, 2017 - shs.cairn.info",2017,0,"L88wIvt8hgkJ"
"An Ecosocialist Internationalism: Socialisation and Emancipation in the age of Ecological Crisis","C Durand , R Keucheyan - GREEN, 2022 - shs.cairn.info",2022,0,"2ZP69bnNmesJ"
"Aux origines conceptuelles des matrices entrées-sorties: la contribution de Bogdanov (1921)","C Durand , F Allisson - access.archive-ouverte.unige.ch",,0,"tIFED58-TEUJ"
"L'accumulation financière dans les pays riches depuis 1970","C Durand - CEPN Policy Brief, 2015 - ideas.repec.org",2015,0,"6aHrNgOp1RkJ"
"From Predation to Rent: Emergence and Stabilization of a Capitalist Oligarchy in Russian Metallurgy (1991–2002)","C Durand - Géographie, économie, société, 2004 - shs.cairn.info",2004,0,"SZKFdI8iBQMJ"
"Le"" populisme de gauche"" est mort","C Durand , R Keucheyan - L'Obs, 2019 - shs.hal.science",2019,0,"FEOQ6JNaQfkJ"
"Financialization of the Large Retailers: Restructuring Stock Ownership and the Economic Decline of the Carrefour Group (1999-2013)","M Benquet , C Durand - Revue Française de Socio-Économie, 2016 - shs.cairn.info",2016,0,"766-qX_0EEIJ"
"La planificación en la era de los algoritmos","C Durand , R Keucheyan - Actuel Marx, 2019 - shs.cairn.info",2019,0,"bCsHm74QKwYJ"
"Between Developmentalism and Instrumentalization of Public Power: The Revival of the State in the Russian Economy","C Durand - Innovations, 2007 - shs.cairn.info",2007,0,"MZ5dvThLFS4J"
"Is a Russian Form of Developmentalism Emerging?. The Shortcomings of the Return of the Producing State","C Durand , M Petrovski - Autrepart, 2008 - shs.cairn.info",2008,0,"6QAqWYXymTMJ"
"Techno-féodalisme: une logique de régression à l'âge du numérique","C Durand - Rencontres Cairn - shs.cairn.info",,0,"tUhP6bm9LugJ"
